Date,Open,High,Low,Close,Volume,,,,,,,,,,,
2020/02/07,42.2,42.7,42.05,42.5,"13,537",,,,,,,,,,,
2020/02/06,42.5,43.1,42.45,43,"14,063",,,,,,,,,,,
2020/02/05,42.5,42.65,41.95,42.35,"15,228",,,,,,,,,,,
2020/02/04,41.6,42.7,41.6,42.4,"20,790",,,,,,,,,,,
2020/02/03,40.5,41.65,40.1,41.55,"23,001",,,,,,,,,,,
2020/01/31,41.75,42.5,41.75,42.05,"26,430",,,,,,,,,,,
2020/01/30,42.7,43.05,41.6,41.85,"64,150",,,,,,,,,,,
2020/01/20,44.95,45,44.85,44.95,"8,870",,,,,,,,,,,
2020/01/17,44.9,44.9,44.65,44.9,"9,522",,,,,,,,,,,
2020/01/16,44.5,44.95,44.45,44.75,"14,814",,,,,,,,,,,
2020/01/15,44.55,44.7,44.3,44.55,"23,662",,,,,,,,,,,
2020/01/14,44.25,44.55,44.25,44.55,"20,357",,,,,,,,,,,
2020/01/13,43.75,44.25,43.65,44.25,"23,870",,,,,,,,,,,
2020/01/10,43.45,43.5,43.35,43.5,"12,755",,,,,,,,,,,
2020/01/09,43.4,43.6,43.3,43.45,"17,899",,,,,,,,,,,
2020/01/08,43.15,43.55,43.15,43.4,"13,465",,,,,,,,,,,
2020/01/07,43.45,43.6,43.2,43.6,"14,185",,,,,,,,,,,
2020/01/06,43.5,43.7,43.3,43.45,"13,867",,,,,,,,,,,
2020/01/03,44.15,44.25,43.45,43.95,"18,387",,,,,,,,,,,
2020/01/02,43.8,44.15,43.8,44.1,"18,470",,,,,,,,,,,
2019/12/31,43.65,43.8,43.5,43.7,"8,465",,,,,,,,,,,
2019/12/30,43.35,43.9,43.3,43.65,"20,828",,,,,,,,,,,
2019/12/27,43.1,43.25,43,43.25,"9,708",,,,,,,,,,,
2019/12/26,43.15,43.15,42.9,43.05,"5,645",,,,,,,,,,,
2019/12/25,43,43.25,42.9,43.1,"6,263",,,,,,,,,,,
2019/12/24,43.25,43.35,43.05,43.15,"7,316",,,,,,,,,,,
2019/12/23,42.95,43.25,42.95,43.25,"14,298",,,,,,,,,,,
2019/12/20,43,43.1,42.8,42.95,"17,435",,,,,,,,,,,
2019/12/19,43,43,42.75,43,"14,560",,,,,,,,,,,
2019/12/18,42.85,43.1,42.8,43,"14,551",,,,,,,,,,,
2019/12/17,42.85,42.95,42.7,42.95,"12,338",,,,,,,,,,,
2019/12/16,42.85,43,42.65,42.8,"13,795",,,,,,,,,,,
2019/12/13,42.4,42.85,42.4,42.55,"20,556",,,,,,,,,,,
2019/12/12,42.25,42.4,42.2,42.3,"13,217",,,,,,,,,,,
2019/12/11,42.1,42.25,42.05,42.15,"9,100",,,,,,,,,,,
